Timestamp,I agree with the principle of publishing PLDI as an issue of TOPLAS:,The following other conferences should be considered for special issues of TOPLAS:,Publishing papers in journal is expected by my employer:,I have published the following number of papers at PLDI:,I have published the following number of Journal papers:,I choose to publish in Journals for the following reasons:,I would like my papers to be open access:,Seniority,I work in the following country:,I work in an academic institution:,,(inferred field: are you writing journals only if you have to?)
10/14/2014 10:02:16,Yes,"POPL, ICFP, OOPSLA",No,1,0,,Yes,Junior researcher or Pre-tenure academic,USA,No,,
10/14/2014 10:38:52,Yes,POPL,Yes,2-5,11+,,Don't care,Senior researcher or Post-tenure academic,USA,Yes,,
10/14/2014 10:52:51,Undecided,,No,1,2-5,Invitation to publish,Yes,Junior researcher or Pre-tenure academic,USA,No,,
10/14/2014 10:54:30,Undecided,"POPL, OOPSLA",No,2-5,6-10,more details,Yes,Senior researcher or Post-tenure academic,USA,No,,
10/14/2014 10:55:14,Undecided,,Yes,1,2-5,,Yes,Junior researcher or Pre-tenure academic,USA,No,,
10/14/2014 11:00:39,No,,Yes,6-10,6-10,,Yes,Senior researcher or Post-tenure academic,USA,No,,
10/14/2014 11:03:16,Yes,POPL,Yes,1,11+,"dissemination, prestige",Yes,Senior researcher or Post-tenure academic,USA,Yes,,
10/14/2014 11:10:21,Yes,POPL,Yes,1,2-5,,Don't care,Junior researcher or Pre-tenure academic,Japan,No,,
10/14/2014 11:10:21,Yes,"POPL, ICFP, OOPSLA",Yes,0,2-5,expected by my employer:,Yes,Senior researcher or Post-tenure academic,France,Yes,,1
10/14/2014 11:25:00,Yes,"POPL, ICFP, OOPSLA",No,6-10,2-5,"While journal papers are not ""expected"", for tenure faculty are encouraged to have a few journal papers",Yes,Senior researcher or Post-tenure academic,USA,Yes,,1
10/14/2014 11:40:32,Yes,,No,1,0,,Yes,Student or Postdoc,USA,Yes,,
10/14/2014 11:48:32,Yes,"POPL, ICFP, OOPSLA",No,1,0,,Yes,Student or Postdoc,USA,Yes,,
10/14/2014 11:49:41,Yes,"POPL, ICFP, OOPSLA",Yes,0,0,,Yes,Student or Postdoc,USA,Yes,,
10/14/2014 11:57:06,Yes,"POPL, ICFP, OOPSLA",Yes,0,0,"As stated above, conferences are often considered weak by members of other fields of science.",Yes,Student or Postdoc,USA,Yes,,1
10/14/2014 12:23:11,No,,Yes,,0,,Yes,Junior researcher or Pre-tenure academic,,,,
10/14/2014 12:37:54,No,,Yes,1,1,,Yes,Senior researcher or Post-tenure academic,USA,No,,
10/14/2014 13:18:57,Yes,"POPL, ICFP, OOPSLA",Yes,0,0,,Yes,Student or Postdoc,USA,Yes,,
10/14/2014 13:39:49,Yes,"POPL, ICFP, OOPSLA",Yes,,11+,"Journal versions polish the conference versions, which is necessary for high quality research.",Yes,Senior researcher or Post-tenure academic,USA,Yes,,
10/14/2014 13:56:10,Yes,OOPSLA,No,0,0,,Yes,Student or Postdoc,USA,Yes,,
10/14/2014 14:04:37,Undecided,,No,1,11+,"greater length; ""archival""/retrospective viewpoint",Don't care,Senior researcher or Post-tenure academic,USA,Yes,,
10/14/2014 14:05:56,Yes,"POPL, ICFP, OOPSLA",Yes,0,0,,Yes,Student or Postdoc,USA,Yes,,
10/14/2014 14:16:31,Yes,"POPL, ICFP, OOPSLA",No,1,0,,Yes,Junior researcher or Pre-tenure academic,USA,Yes,,
10/14/2014 14:17:53,Undecided,"POPL, OOPSLA",No,11+,6-10,expanding the treatment of a conference paper,Yes,Senior researcher or Post-tenure academic,USA,No,,
10/14/2014 14:39:16,Yes,"POPL, ICFP, OOPSLA",No,2-5,6-10,,Yes,Senior researcher or Post-tenure academic,USA,Yes,,
10/14/2014 15:10:45,Yes,"POPL, OOPSLA",Yes,0,6-10,The dialog with the reviewers,Yes,Senior researcher or Post-tenure academic,France,Yes,,
10/14/2014 16:09:58,Yes,OOPSLA,Yes,2-5,2-5,,Yes,Senior researcher or Post-tenure academic,USA,No,,
10/14/2014 16:38:10,Yes,"POPL, ICFP, OOPSLA",Yes,0,11+,employers and grants expectations,Yes,Junior researcher or Pre-tenure academic,Chile,Yes,,1
10/14/2014 17:23:38,No,,Yes,,0,,Yes,Senior researcher or Post-tenure academic,USA,Yes,,
10/14/2014 17:46:22,No,,No,2-5,1,,Yes,Senior researcher or Post-tenure academic,Australia,Yes,,
10/14/2014 17:48:52,Yes,"POPL, ICFP, OOPSLA",No,1,0,,Yes,Student or Postdoc,USA,Yes,,
10/14/2014 17:51:03,No,,No,2-5,11+,To have a complete version that is peer-reviewed,Yes,Senior researcher or Post-tenure academic,USA,Yes,,
10/14/2014 18:01:20,Yes,"POPL, ICFP",No,0,1,,Yes,Student or Postdoc,usa,Yes,,
10/14/2014 18:05:03,No,,No,0,0,,Yes,Student or Postdoc,USA,Yes,,
10/14/2014 18:22:00,Yes,"POPL, ICFP",Yes,0,1,Employment requirements,Yes,Student or Postdoc,France,Yes,,1
10/14/2014 18:24:28,No,POPL,Yes,2-5,2-5,,Yes,Junior researcher or Pre-tenure academic,France,Yes,,
10/14/2014 18:30:03,Yes,"POPL, ICFP, OOPSLA",Yes,0,2-5,,Yes,Junior researcher or Pre-tenure academic,USA,No,,
10/14/2014 18:31:41,Yes,"POPL, ICFP, OOPSLA",Yes,0,0,,Yes,Student or Postdoc,United States,Yes,,
10/14/2014 18:34:58,Yes,"POPL, ICFP, OOPSLA",No,0,6-10,"I like to publish extended versions of my work, with full technical details.  There is no space for those details in a conference paper, even a long conference paper like OOPSLA's.",Yes,Senior researcher or Post-tenure academic,Germany,Yes,,
10/14/2014 19:04:26,Yes,"POPL, ICFP",Yes,0,0,,Yes,Student or Postdoc,USA,Yes,,
10/14/2014 21:06:52,Yes,"POPL, ICFP, OOPSLA",Yes,0,0,,Yes,Student or Postdoc,USA,Yes,,
10/14/2014 21:08:39,Yes,"POPL, ICFP, OOPSLA",Yes,0,2-5,Time to the final decision for acceptance,Yes,Senior researcher or Post-tenure academic,Republic of Korea,Yes,,
10/14/2014 21:52:53,No,"POPL, ICFP, OOPSLA",No,2-5,6-10,"Longer page limits, less binary reviewing",Yes,Junior researcher or Pre-tenure academic,USA,Yes,,
10/14/2014 22:21:33,Yes,"POPL, ICFP, OOPSLA",Yes,0,2-5,required for tenure,Yes,Junior researcher or Pre-tenure academic,USA,Yes,,1
10/14/2014 22:50:04,Yes,"POPL, OOPSLA",No,0,0,,Yes,Student or Postdoc,USA,Yes,,
10/14/2014 22:50:55,Yes,"POPL, ICFP, OOPSLA",Yes,2-5,11+,to publicize my work and to satisfy university requirement,Yes,Senior researcher or Post-tenure academic,Korea,Yes,,1
10/14/2014 23:07:05,Yes,"POPL, OOPSLA",Yes,0,2-5,,Yes,Junior researcher or Pre-tenure academic,Canada,Yes,,
10/14/2014 23:11:23,Yes,"POPL, ICFP, OOPSLA",No,1,0,,Yes,Student or Postdoc,USA,Yes,,
10/14/2014 23:45:42,Yes,"POPL, ICFP, OOPSLA",Yes,0,2-5,,Yes,Junior researcher or Pre-tenure academic,Canada,Yes,,
10/15/2014 1:25:59,Yes,"POPL, OOPSLA",Yes,1,2-5,Because there is substantial new addendum to the conference paper and because my employer keeps asking for the number of journal publications.,Yes,Senior researcher or Post-tenure academic,India,Yes,,1
10/15/2014 1:30:13,No,,No,2-5,1,better reviewing process,Don't care,Junior researcher or Pre-tenure academic,India,Yes,,
10/15/2014 1:33:09,Yes,OOPSLA,Yes,1,2-5,university compulsions,Don't care,Junior researcher or Pre-tenure academic,India,Yes,,1
10/15/2014 1:39:01,Undecided,"POPL, ICFP, OOPSLA",Yes,0,2-5,Prestige,Yes,Junior researcher or Pre-tenure academic,Canada,Yes,,1
10/15/2014 1:41:36,Yes,,No,1,2-5,"I used to be a professor, so I played the game and did the minimal number of journal papers to get tenure. Now my corporation doesn't care, so I don't bother.",Don't care,Senior researcher or Post-tenure academic,USA,No,,1
10/15/2014 1:41:45,Yes,,No,6-10,2-5,,Yes,Senior researcher or Post-tenure academic,USA,No,,
10/15/2014 1:59:29,Yes,OOPSLA,Yes,0,0,TOPLAS,Don't care,Student or Postdoc,India,Yes,,
10/15/2014 2:05:20,Yes,"POPL, ICFP, OOPSLA",Yes,0,2-5,Required by employer,Yes,Junior researcher or Pre-tenure academic,Switzerland ,Yes,,1
10/15/2014 2:44:36,Yes,,Yes,0,2-5,,Yes,Junior researcher or Pre-tenure academic,Japan,No,,
10/15/2014 3:00:56,Yes,"POPL, ICFP, OOPSLA",Yes,1,2-5,required,Yes,Junior researcher or Pre-tenure academic,Singapore,Yes,,1
10/15/2014 3:07:00,No,"POPL, ICFP, OOPSLA",No,0,6-10,"archival, thorough multi-stage review process, room for reporting detailed results",Yes,Senior researcher or Post-tenure academic,Denmark,Yes,,
10/15/2014 3:09:06,No,,Yes,1,6-10,,Yes,Senior researcher or Post-tenure academic,UK,Yes,,
10/15/2014 3:15:18,Yes,POPL,Yes,0,6-10,Recognition in bibliometric measurements,Don't care,Senior researcher or Post-tenure academic,Denmark,Yes,,1
10/15/2014 3:54:12,Yes,"POPL, ICFP, OOPSLA",Yes,0,2-5,"lower price, longer paper, appreciated by my university.",Yes,Senior researcher or Post-tenure academic,France,Yes,,1
10/15/2014 4:24:27,Yes,"POPL, ICFP, OOPSLA",No,1,2-5,for technical and/or long versions with proofs,Yes,Student or Postdoc,France,Yes,,
10/15/2014 4:55:14,No,,Yes,0,11+,Maturer state of research. One can argue with the reviewers. Sponsors expect it.,Yes,Senior researcher or Post-tenure academic,Germany,Yes,,1
10/15/2014 5:43:27,Yes,,No,6-10,11+,,Yes,Senior researcher or Post-tenure academic,USA,Yes,,
10/15/2014 7:50:20,Yes,"POPL, ICFP",Yes,0,6-10,longer and because my Faculty encourages it (heavily),Yes,Senior researcher or Post-tenure academic,Canada,Yes,,1
10/15/2014 8:09:25,Yes,POPL,Yes,1,6-10,Tenure and Promotion,Yes,Junior researcher or Pre-tenure academic,USA,Yes,,1
10/15/2014 8:38:05,Yes,"POPL, ICFP",Yes,0,2-5,"expected for promotion, publish without need for travelling",Yes,Junior researcher or Pre-tenure academic,Argentina,Yes,,1
10/15/2014 8:38:18,Yes,"POPL, ICFP, OOPSLA",Yes,0,1,Some institutions require the publication of Journals to advance in the academic career,Yes,Junior researcher or Pre-tenure academic,USA,Yes,,1
10/15/2014 8:45:12,No,,No,2-5,2-5,while a graduate student,Yes,Senior researcher or Post-tenure academic,USA,No,,
10/15/2014 8:58:40,Undecided,,Yes,0,2-5,Longer versions are better records of the ideas. Journal typesetting is often much easier to read.,Yes,Student or Postdoc,USA,Yes,,
10/15/2014 9:02:22,No,,No,1,0,,Yes,Student or Postdoc,USA,Yes,,
10/15/2014 9:06:11,Yes,"POPL, ICFP",Yes,0,2-5,,Yes,Senior researcher or Post-tenure academic,USA,No,,
10/15/2014 9:26:07,Yes,POPL,Yes,0,2-5,,Yes,Senior researcher or Post-tenure academic,USA,No,,
10/15/2014 10:05:30,Yes,OOPSLA,Yes,0,0,,Yes,Student or Postdoc,Brazil,Yes,,
10/15/2014 12:42:04,Yes,"POPL, OOPSLA",Yes,0,0,i) It is prestigious; ii) My group receives a monetary prize every time a member publishes a journal paper,Yes,Student or Postdoc,Portugal,Yes,,1
10/15/2014 13:03:39,Yes,"POPL, ICFP, OOPSLA",Yes,0,11+,Required for tenure & promotion,Yes,Senior researcher or Post-tenure academic,USA,Yes,,1
10/15/2014 13:12:26,Undecided,"POPL, ICFP, OOPSLA",No,0,0,,Yes,Senior researcher or Post-tenure academic,USA,No,,1
10/15/2014 13:43:47,Undecided,POPL,Yes,0,11+,"No page limit (I can write full proofs), only journal publications count in my university",Yes,Senior researcher or Post-tenure academic,Italy,Yes,,
10/15/2014 13:49:00,Yes,"POPL, ICFP, OOPSLA",No,0,6-10,,Yes,Junior researcher or Pre-tenure academic,USA,Yes,,
10/15/2014 14:51:04,Yes,"POPL, ICFP, OOPSLA",No,0,2-5,,Yes,Student or Postdoc,USA,Yes,,
10/15/2014 15:22:13,No,,,1,0,,Yes,Student or Postdoc,USA,Yes,,
10/15/2014 17:28:11,Yes,"POPL, ICFP, OOPSLA",No,1,0,,Yes,Junior researcher or Pre-tenure academic,US,Yes,,
10/16/2014 3:24:38,Yes,"POPL, ICFP, OOPSLA",Yes,0,6-10,"CV (to avoid the non-understanding of conferences), and for space reasons (typically no page limit)",Yes,Senior researcher or Post-tenure academic,UK,Yes,,
10/16/2014 3:35:11,Yes,"POPL, ICFP",Yes,1,6-10,"Longer papers, prioritized higher by employer and funding agencies",Yes,Senior researcher or Post-tenure academic,Denmark,Yes,,1
10/16/2014 4:40:07,Yes,"POPL, ICFP, OOPSLA",No,0,2-5,I get more helpful reviews. I don't feel I have to submit because there is a deadline for a conference (even though the paper is not finished yet). The paper can be more detailed and thorough.,Yes,Student or Postdoc,Denmark,Yes,,
10/16/2014 5:05:44,Yes,"POPL, ICFP, OOPSLA",No,2-5,2-5,Longer format; conference papers sometimes too short,Yes,Senior researcher or Post-tenure academic,UK,No,,
10/16/2014 5:37:15,No,,No,1,0,,Yes,Junior researcher or Pre-tenure academic,MSR,No,,
10/16/2014 7:27:10,Yes,"POPL, ICFP, OOPSLA",Yes,0,2-5,Important for my career,Yes,Senior researcher or Post-tenure academic,France,Yes,,1
10/16/2014 10:06:12,Undecided,"POPL, ICFP, OOPSLA",Yes,2-5,6-10,It's expected.,Yes,Senior researcher or Post-tenure academic,USA,Yes,,1
10/16/2014 10:45:05,Yes,"POPL, ICFP, OOPSLA",Yes,1,11+,My university values journal papers,Don't care,Junior researcher or Pre-tenure academic,Singapore,Yes,,1
10/16/2014 14:49:30,Yes,"POPL, OOPSLA",No,2-5,6-10,"More detailed exposition, including proofs; space to include variants and other smaller results",Yes,Senior researcher or Post-tenure academic,USA,Yes,,
10/17/2014 11:15:14,Yes,,,0,1,"credit, availability",Yes,Student or Postdoc,Iran,Yes,,1
10/17/2014 15:50:05,Yes,POPL,No,0,0,,Yes,Student or Postdoc,United States,Yes,,
10/19/2014 15:46:40,Undecided,"POPL, ICFP, OOPSLA",No,0,2-5,"conference page limits make every paper an extended abstract, and the reviewing process, while impressively thorough given its constraints, does not force the kind of reflection that a multi-stage review process does.  Rebuttal is not a substitute for this.",Yes,Junior researcher or Pre-tenure academic,Canada,Yes,,
10/19/2014 15:59:02,Yes,"POPL, ICFP, OOPSLA",No,11+,2-5,,Yes,Senior researcher or Post-tenure academic,USA,Yes,,
10/20/2014 2:08:40,No,,Yes,0,11+,archival,Don't care,Senior researcher or Post-tenure academic,,Yes,,
10/20/2014 13:11:09,Yes,"POPL, ICFP, OOPSLA",Yes,0,11+,Publish or perish :-(,Yes,Senior researcher or Post-tenure academic,Belgium,Yes,,1
10/20/2014 15:03:50,Yes,"POPL, ICFP, OOPSLA",No,0,0,Extended paper invitations,Yes,Student or Postdoc,Switzerland,Yes,,
10/20/2014 16:28:52,Yes,"POPL, OOPSLA",Yes,0,11+,Complete details can be included so that the paper becomes self-contained. Greater prestige (in some cases).,Yes,Senior researcher or Post-tenure academic,USA,Yes,,1
10/23/2014 9:23:45,No,,Yes,1,11+,They are cheap!,Yes,Senior researcher or Post-tenure academic,Germany,Yes,,
10/26/2014 10:45:27,Yes,"POPL, OOPSLA",No,6-10,2-5,,Yes,Senior researcher or Post-tenure academic,USA,Yes,,
10/26/2014 20:47:26,No,POPL,No,2-5,11+,"to preserve a polished, complete account of a research project",Don't care,Senior researcher or Post-tenure academic,US,Yes,,
