"Timestamp","Open access to scientific results is...","Would having open access at a reasonable price influence your decision to submit an article to a venue?","How would you propose to fund the archival of papers under an OA model?","What would be highest acceptable author processing charges per article (in $)?","Would you support ACM reducing expenses and possibly scaling back on the “Good Works” to fund OA?","What is, in your view, the primary role of the ACM?","Would you consider changing publishers if OA were not available at an acceptable price from the ACM within two years?","Should authors retain copyright of their work?","Comments on Open Access","In your field, where do important results first appear?","Have you published in a journal in the last three years?","Have you read a paper published in a journal in the last year?","Have you published in a conference in the last two years?","You publish in journals mainly because ","Would you support publishing our best conferences as special issues of a journal?","Comments on the importance of Journals in CS","The DL fulfill its role of being a convenient portal to find CS research results","The DL makes it easy to find articles","The DL’s search facility should be replaced by a commercial search engine","The DL’s archiving facility should be replaced with ArXiv","Comments about the DL","Do you work","How long ago was your first published scientific paper?","Are you a member of the ACM?","Which SIG (if any) do identify with?","Where do you spend most of your time?"
"2015/03/06 4:03:38 AM AST","a moral imperative","yes","through increased conference registration costs (or attendance)","100","yes","","yes","yes","","journals","yes","yes","no","they allow long form results;they allow one to present completed research","yes","","4","3","1","5","","academia","<10 years ago","no","","Europe"
"2015/03/06 4:04:25 AM AST","a desirable feature","no","through author processing charges","100","no","CS advocacy","no","not essential","","both","yes","yes","yes","they allow one to present completed research;it is expected by your employer","yes","","4","4","4","1","","academia","20+ years ago","yes","SIGSOFT","North America"
"2015/03/06 4:05:14 AM AST","a desirable feature","yes","through increased conference registration costs (or attendance)","0","yes","To verify the quality of articles.","yes","no","","conferences","no","yes","yes","they allow long form results;they allow one to present completed research;they provide better reviews","yes","","3","3","1","4","","academia","haven't yet","no","","Europe"
"2015/03/06 4:05:35 AM AST","a moral imperative","yes","through author processing charges","200","yes","","yes","yes","","conferences","no","yes","yes","","yes","","2","2","3","5","","academia","<10 years ago","no","","Europe"
"2015/03/06 4:05:43 AM AST","a moral imperative","yes","gouvernemental aids","200","yes","","no","yes","","conferences","yes","yes","yes","they allow long form results;they allow one to present completed research;they provide better reviews;they are more prestigious;it is expected by your employer","yes","","","","","","","academia","10+ years ago","no","","Europe"
"2015/03/06 4:06:43 AM AST","a moral imperative","no","through increased conference registration costs (or attendance)","1000","yes","Advancing our understanding of computer science and it's usr by the public, for the greater good.","no","yes","","conferences","no","yes","yes","they allow long form results;they allow one to present completed research","yes","","4","3","5","3","The DL is a convenient and easy to use archival service, but it's main benefits are completeness and consistency, which could be preserved while lowering costs.","academia","<10 years ago","no","PLAN","North America"
"2015/03/06 4:06:58 AM AST","a desirable feature","yes","gouv","0","no","","yes","yes","","both","yes","yes","yes","they allow long form results;they provide better reviews;it is expected by your employer","no","","3","4","1","3","","academia","20+ years ago","no","ACT","Europe"
"2015/03/06 4:07:12 AM AST","a moral imperative","yes","through increased conference registration costs (or attendance)","0","yes","","yes","yes","","conferences","no","yes","no","they allow long form results;they allow one to present completed research;it is expected by your employer","yes","","3","4","3","5","","academia","<10 years ago","no","PLAN","Europe"
"2015/03/06 4:07:44 AM AST","a moral imperative","yes","through author processing charges","100","","","yes","","","conferences","yes","yes","yes","they provide better reviews;they are more prestigious;it is expected by your employer","yes","","","","","","","academia","10+ years ago","no","SIGCSE","Europe"
"2015/03/06 4:08:03 AM AST","a desirable feature","yes","through increased conference registration costs (or attendance)","0","no","","yes","yes","","conferences","yes","yes","yes","they allow one to present completed research;they provide better reviews","yes","","4","4","3","4","","academia","<10 years ago","no","","Europe"
"2015/03/06 4:08:42 AM AST","a moral imperative","no","through increased conference registration costs (or attendance)","200","yes","ACM should support the development of the field as a whole and the dissemination of scientific results. By providing meeting grounds for people sharing interest in CS. Generally speaking; not just physical meetings. ","yes","not essential","I was first tempted to mark ""desirable feature"" in the first question. 
Then I realized that the majority of papers reports on research funded by public bodies e.g. From taxpayers money. In this light, it is unacceptable that these result are not freely accessible to the general public. 
OA may even make research more honest. For example, if everybody could easily check up on scientific studies quoted in the press, then we were less prone to manipulation by journalists. Also, some authors might be ashamed that they publish a ton of crappy papers (I'm primarily thinking of medicine, but I'm sure there are lots of papers written for the sake of incrementing a publication counter).","conferences","yes","yes","yes","they allow long form results;they are more prestigious;More space for exposition, good rehearsal for thesis writing","yes","Right now they are underrated, because even high calibre authors choose to publish in conferences for quick turnaround. They miss the chance to lean back, contemplate the results, and present them in full. ","4","3","2","5","The ability to chase references is great. 
The bibltex entries cannot be used as is: DBLP does a better job in this respect. 
The search facility is arbitrary and unpredictable (or briefly out, it's bad).","academia","20+ years ago","yes","SIGPLAN ","Europe"
"2015/03/06 4:09:41 AM AST","a moral imperative","yes","International funding","0","yes","","yes","yes","","conferences","yes","yes","yes","they allow long form results;they allow one to present completed research;they provide better reviews;it is expected by your employer","yes","","3","3","1","5","","academia","<10 years ago","no","","Europe"
"2015/03/06 4:10:18 AM AST","a moral imperative","yes","Voluntary (institutional) support","0","yes","","yes","yes","The regular (big) increase of digital library subscription fees put universities in very difficult position. The current model is not sustainable and must evolve quickly.
Institutions (universities) already pay (the salary of authors) for the scientific work, the redaction work, the review work, the scientific committee work, ... If they pay the reminding (through library subscription fees), the work must be put in open access AND the reminding work must be done by non-profit organization. Its is non ethical that universities offer big profits for commercial organizations.","conferences","yes","yes","yes","they allow one to present completed research;it is expected by your employer","yes","","3","4","1","5","","academia","10+ years ago","no","","Europe"
"2015/03/06 4:10:26 AM AST","a moral imperative","yes","through author processing charges","0","yes","","yes","yes","","conferences","yes","yes","yes","they allow long form results;it is expected by your employer","yes","A multi-round reviewing process is the major difference with conferences.","1","1","1","5","","academia","10+ years ago","no","","Europe"
"2015/03/06 4:11:28 AM AST","a moral imperative","no","Not. There should be no cost.","0","no","Fostering research, and doing so by ensuring quality in publications.","yes","yes","It's a necessity.","conferences","yes","yes","yes","they allow long form results;they allow one to present completed research;they are more prestigious","no","Journals are too often abused as publication venues for immature work. Too many workshop-level events have special journal issues. Journals should be all about high-quality completed research (i.e., no ""future work"" section, no ongoing work, and thorough evaluations).","4","4","1","3","The DL is a great resource.","industry","10+ years ago","yes","","Europe"
"2015/03/06 4:11:33 AM AST","a moral imperative","yes","through increased conference registration costs (or attendance)","100","yes","","yes","yes","","both","yes","yes","yes","they allow long form results;they allow one to present completed research;they provide better reviews;they are more prestigious;it is expected by your employer","yes","","3","3","3","3","","academia","<10 years ago","no","","Europe"
"2015/03/06 4:11:50 AM AST","a moral imperative","no","through author processing charges","100","yes","","yes","yes","","conferences","no","yes","yes","they allow long form results","yes","","3","2","5","4","","academia","<10 years ago","yes","sigplan","Middle east"
"2015/03/06 4:12:01 AM AST","a moral imperative","yes","donations","0","yes","","yes","not essential","","both","no","yes","no","","","","3","2","2","4","","academia","","no","","Europe"
"2015/03/06 4:12:45 AM AST","a desirable feature","yes","through author processing charges","100","yes","","yes","","","","","","","","","","","","","","","academia","haven't yet","no","","Europe"
"2015/03/06 4:14:11 AM AST","a moral imperative","yes","How does `Logical Methods in Computer Science' work? Maybe I haven't thought about this enough, but what exactly needs funding in the archival process? Is it just about the ArXiV servers? ","0","yes","Representing and organising the community? High-standards journals and conferences are extremely precious as they offer a solid alternative to private publishers.","no","yes","","both","yes","yes","yes","they allow long form results;they allow one to present completed research;they provide better reviews;they are more prestigious;it is expected by your employer","no","I think of CS conferences as a magnified form of math conferences. Math conferences are just for announcing results, which then appear for real in journals. In CS, it is frequently the case that conference papers cannot be thoroughly checked for correctness, be it for lack of time or because full proofs aren't yet written down. So journals seem essential for such papers that don't fit the conference format. ","","","","5","","academia","10+ years ago","no","SIGLOG and SIGPLAN","Europe"
"2015/03/06 4:14:23 AM AST","a moral imperative","no","through author processing charges","100","yes","","no","yes","","conferences","yes","yes","yes","they allow long form results;they allow one to present completed research;it is expected by your employer","yes","","","","","","","academia","10+ years ago","no","KDD","Europe"
"2015/03/06 4:16:01 AM AST","a moral imperative","yes","through increased conference registration costs (or attendance)","0","no","","yes","yes","","both","yes","yes","yes","they allow long form results;they allow one to present completed research;they provide better reviews;they are more prestigious","no","","3","3","1","5","","academia","10+ years ago","no","SIGACT","Europe"
"2015/03/06 4:16:30 AM AST","a moral imperative","yes","through author processing charges","200","yes","","yes","yes","","both","yes","yes","yes","they allow long form results;they allow one to present completed research;they are more prestigious;it is expected by your employer","yes","","","","","","","academia","<10 years ago","no","","Europe"
"2015/03/06 4:17:47 AM AST","a moral imperative","yes","through increased conference registration costs (or attendance)","100","no","","yes","not essential","","","yes","no","yes","The paper was rejected from at least three conferences. ","no","","2","1","5","2","","academia","20+ years ago","yes","SIGPLAN ",""
"2015/03/06 4:18:07 AM AST","a moral imperative","yes","voluntary support","0","yes","","yes","yes","","conferences","no","yes","yes","they allow long form results;they allow one to present completed research","yes","Journals' articles allow the writer to give a wider view of his subject.","","","","4","","academia","<10 years ago","no","","Europe"
"2015/03/06 4:19:01 AM AST","a moral imperative","no","through author processing charges","100","yes","","yes","yes","","conferences","yes","yes","yes","they allow long form results;they are more prestigious;it is expected by your employer","yes","","3","3","3","5","","academia","<10 years ago","no","","Europe"
"2015/03/06 4:19:20 AM AST","a moral imperative","yes","A combination of sponsorship, membership fees and (low) processing charges","100","yes","To support CS research and education.","yes","yes","","conferences","yes","yes","yes","they allow long form results;they allow one to present completed research;they are more prestigious;Expected by funding agency","yes","","4","4","3","5","It serves its purpose, but should be freely available.","academia","<10 years ago","yes","SIGPLAN","Europe"
"2015/03/06 4:20:20 AM AST","a moral imperative","yes","through international institutions","0","yes","Certainly not to charge authors to read their own papers, and the papers of others they reviewed for free.","yes","yes","","conferences","yes","yes","yes","they allow long form results;they provide better reviews;they are more prestigious","yes","","2","2","1","5","","academia","<10 years ago","no","","Europe"
"2015/03/06 4:20:29 AM AST","a desirable feature","no","through increased conference registration costs (or attendance)","200","yes","It is an association that represents computer professionals within society and politics","no","yes","OA fees usually are paid with tax payers' money, so they should only be used to cover publication cost, not to increase publishers' revenues or for cross funding of other activities.

I am against paying high OA fees for the promise of perpetual free availability of my work. Frankly, I don't believe that any organization is in a position to guarantee that. ","conferences","yes","yes","yes","they allow long form results;they allow one to present completed research;no artificial deadline","only with extended review deadlines and extra feedback loop","My impression is that they are less important now than 30 years ago.
Many important results are presented at conferences and never written up in an accessible manner, which is a pity.
An important role that journals could take is the archiving of experimental data (e.g., virtual machines, input files, observations) that make results reproducible. Many conferences and authors do this already, but it is not archived beyond the publication date.","4","4","1","3","","academia","20+ years ago","no","","Europe"
"2015/03/06 4:22:46 AM AST","a moral imperative","no","Public funding","0","yes","","yes","yes","Really, authors do all the work at no cost including reviewing, editting and publishing, publications should be freely accessible","conferences","yes","yes","yes","they allow long form results;they allow one to present completed research","yes","The importance of conferences in CS is a total nonsense. Conferences shiukd be on invitation after journal publication. Conference reviewing is an heavy charge that delays the reviewing of jounal which should be prioritary","1","1","3","5","","academia","20+ years ago","no","","Europe"
"2015/03/06 4:22:51 AM AST","a desirable feature","yes","through increased conference registration costs (or attendance)","0","yes","","yes","yes","","both","yes","yes","yes","they allow long form results;they allow one to present completed research;they provide better reviews","","","","","","","","academia","10+ years ago","no","SIGACT","Europe"
"2015/03/06 4:23:51 AM AST","a moral imperative","yes","through increased conference registration costs (or attendance)","200","yes","","no","yes","","journals","yes","yes","yes","they allow one to present completed research;they provide better reviews;they are more prestigious","yes","The review process in journals is far better and more rigorous than in conferences. I don't blame anybody, but the short review deadlines and the page limit in conferences lead to pay much more attention to the ""quality"" of the results than to their correctness (proofs are often put in appendix, or omitted, needless to say that they are not carefully checked by the reviewers). 
For this reason, I think that journals in CS are extremely important.
","1","1","3","4","","academia","10+ years ago","no","SIGACT","Europe"
"2015/03/06 4:24:26 AM AST","a moral imperative","yes","Through reduced publisher costs","100","yes","It is a bit unclear to me. It clearly seems to add to the cost of conferences (capitalizing on their names ? or due to increased costs ?). It does not offer a satisfactory digital library solution.","yes","yes","","conferences","no","yes","yes","They give space for adding proofs, and exhaustive formalization, which conferences do not.","yes","","2","2","1","3","","academia","10+ years ago","yes","SIGPLAN","Europe"
"2015/03/06 4:24:34 AM AST","a moral imperative","yes","through author processing charges","0","yes","diffuse science (and make a very little money) ","yes","yes","","both","yes","yes","yes","they allow long form results;they allow one to present completed research;they provide better reviews;they are more prestigious;it is expected by your employer","yes","","","","","5","","academia","20+ years ago","no","PLAN","Europe"
"2015/03/06 4:25:02 AM AST","a moral imperative","yes","through author processing charges","100","","","yes","yes","","conferences","yes","yes","yes","they allow long form results;they allow one to present completed research;they provide better reviews;they are more prestigious","yes","","","","","5","","academia","10+ years ago","no","","Europe"
"2015/03/06 4:26:36 AM AST","a desirable feature","yes","through increased conference registration costs (or attendance)","200","yes","","yes","yes","","conferences","yes","yes","yes","they allow long form results;they allow one to present completed research","yes","","3","2","4","3","","academia","<10 years ago","yes","sigplan, sigarch","Europe"
"2015/03/06 4:27:08 AM AST","a moral imperative","yes","Avoid mass physical printing","100","yes","keep online a bunch of databases","yes","not essential","Any information is free by nature. Any limitation to information access is immoral. All information already exists in nature, as in the digits of Pi, we just discover it.","both","yes","yes","yes","they allow long form results;they allow one to present completed research","yes","","2","3","4","3","","academia","<10 years ago","no","","Asia"
"2015/03/06 4:28:34 AM AST","a moral imperative","yes","through increased conference registration costs (or attendance)","100","yes","","yes","yes","","conferences","no","yes","yes","they allow long form results;they allow one to present completed research","Don't care","","","","","","","academia","<10 years ago","yes","","Europe"
"2015/03/06 4:28:38 AM AST","a moral imperative","no","Institution grants","100","yes","","yes","yes","","both","yes","yes","yes","they allow long form results;they allow one to present completed research;they provide better reviews;they are more prestigious;it is expected by your employer","yes","","3","5","2","5","","academia","20+ years ago","no","","Europe"
"2015/03/06 4:30:44 AM AST","a moral imperative","yes","through increased conference registration costs (or attendance)","200","yes","Help to do research","yes","yes","","conferences","yes","yes","yes","they allow one to present completed research;it is expected by your employer;they are considered important in some competitions","yes","","3","5","1","","","academia","20+ years ago","yes","SIGLOG and SIGSAC","Europe"
"2015/03/06 4:31:18 AM AST","a moral imperative","no","inherrent part of funding model","100","no","","no","yes","","conferences","yes","yes","yes","it is expected by your employer;funding is based on journal papers","yes","As I researcher, I do not differentiate between journal or conference papers.","4","4","5","5","","academia","<10 years ago","no","SIGPLAN","Europe"
"2015/03/06 4:33:05 AM AST","a moral imperative","no","increased membership fees","100","yes","","yes","yes","It's already happening, don't say you didn't see it coming.","conferences","no","yes","yes","","","","2","2","3","4","","academia","<10 years ago","no","","Europe"
"2015/03/06 4:34:26 AM AST","a moral imperative","yes","through author processing charges","100","yes","Publisher ","yes","yes","","conferences","yes","yes","no","they are more prestigious","yes","","3","3","4","4","","academia","<10 years ago","no","","Asia"
"2015/03/06 4:38:26 AM AST","a desirable feature","no","through increased conference registration costs (or attendance)","100","yes","Insure the quality of conference and thus of the selected papers and insure the access of those pulications to a large public","yes","yes","","conferences","yes","yes","yes","they are more prestigious;it is expected by your employer","yes","","2","2","5","3","","academia","20+ years ago","","SIGGRAPH","Europe"
"2015/03/06 4:39:01 AM AST","a moral imperative","yes","should be free for developooing countries","200","yes","Diffusion of science, not making money on the (free) work of researchers","no","not essential","Essential to allow new countries to enter the research community","conferences","yes","yes","yes","they are more prestigious;it is expected by your employer","yes","","4","3","1","5","Becoming obsolete.
Google attends tp most of today's needs","academia","20+ years ago","no","","Europe"
"2015/03/06 4:40:35 AM AST","a moral imperative","yes","through institutions, universities and foundations sponsoring archives and the minor editorial expenses attached to dematerialized publishing","100","yes","Ensuring quality or published results.
Organizing publication levels and structuring the scopes of journals. 
Archiving, indexing, providing free access.","yes","not essential","","both","yes","yes","yes","they allow long form results;they are more prestigious","yes","","3","","2","3","","academia","20+ years ago","no","","Europe"
"2015/03/06 4:41:55 AM AST","a moral imperative","yes","through increased conference registration costs (or attendance)","200","no","A brand for quality ","yes","yes","","conferences","yes","yes","yes","they allow long form results;they allow one to present completed research;they are more prestigious","yes","","4","4","1","2","","academia","10+ years ago","yes","","Europe"
"2015/03/06 4:45:11 AM AST","a moral imperative","yes","memberschips","0","yes","","yes","yes","","conferences","yes","yes","yes","they allow long form results;they allow one to present completed research;they provide better reviews;they are more prestigious","yes","","1","2","1","3","","industry","10+ years ago","yes","","Europe"
"2015/03/06 4:45:51 AM AST","a moral imperative","no","through increased conference registration costs (or attendance)","100","yes","","yes","yes","","journals","no","yes","no","they allow long form results;they allow one to present completed research;they are more prestigious;it is expected by your employer","yes","","","","","","","academia","haven't yet","no","","Europe"
"2015/03/06 4:47:47 AM AST","not essential","no","through increased conference registration costs (or attendance)","200","no","","no","yes","","conferences","no","yes","yes","","yes","","5","3","3","1","","academia","<10 years ago","yes","SIGPLAN","Europe"
"2015/03/06 4:48:59 AM AST","not essential","yes","archival should be non-profit, volunteer","0","yes","","yes","not essential","","conferences","yes","yes","yes","it is expected by your employer","it's pointless","","4","4","2","5","","academia","10+ years ago","yes","","Europe"
"2015/03/06 4:48:59 AM AST","a desirable feature","no","through increased conference registration costs (or attendance)","200","yes","Organising conferences and associated publications.","yes","yes","I'm generally happy with the policy of SIGPLAN conferences on Green open access (and they seem to meet the open access requirements in the UK where I am). However, if LIPIcs can do open access for a $15 charge, I would much prefer conferences to publish there than with the ACM.","conferences","yes","no","yes","Extended conference papers invited to special issues","no","They are unimportant in my field.","4","3","4","1","","academia","10+ years ago","no","SIGPLAN","Europe"
"2015/03/06 4:49:24 AM AST","a moral imperative","yes","through increased conference registration costs (or attendance)","100","yes","From my view as a professional programmer, it is to prevent me from browsing classic CS papers.","yes","yes","","conferences","no","no","no","","yes","Seems to be historical to me; most interesting things I find through conference proceedings.","1","1","","5","","industry","<10 years ago","no","SIGPLAN","Europe"
"2015/03/06 4:49:45 AM AST","a moral imperative","yes","a mixture of author processing charges and increased conference registration costs","700","yes","To support the CS community in academia and industry for making a impact on society's evolution.","yes","yes","""Open Access"" is also about access to data, i.e. software, experimental results, ... Typesetting, i.e. preparation of the manuscript, is often underestimated by the authors, this causes costs that are higher than people think.","conferences","no","yes","no","they allow long form results;they allow one to present completed research","yes","Some conference proceedings are actually as good as very good journal issues; some journal issues are actually as bad as mediocre workshop proceedings. Journals in CS are forced to find their place with regard to the dominating conference culture (and not vice versa). Journals need be broader in scope to aggregrate the most important results from the zoo of conferences; 3-5 CS OA megajournals might be enough (PeerJ CS, ...). Journal EiCs should need to disclose income from commercial publishers to make their conflict-of-interest more transparent. ","3","2","3","2","(none)","academia","10+ years ago","no","","Europe"
"2015/03/06 4:49:49 AM AST","a moral imperative","yes","through paper elimination and community service","0","yes","Nurturing original and meaningful research by selecting only top conferences and journals, thus preventing proliferation of useless publications ","yes","not essential","one of the requirements to give some relevance back to academia","conferences","yes","no","yes","they allow one to present completed research;they provide better reviews;they are more prestigious;it is expected by your employer","yes","","2","2","3","2","","industry","<10 years ago","no","soft","Europe"
"2015/03/06 4:50:00 AM AST","a moral imperative","yes","membership in associations","200","yes","Promoting the science of computation and the free access to science.","yes","not essential","Articles should be put under a GPL type licence : any work based on it should be freely made available","conferences","yes","yes","yes","they allow long form results;they allow one to present completed research;they provide better reviews;it is expected by your employer","yes","Journals should have a more central place in CS and replace conferences as the main means of disseminating science : one should not use a page limit as an excuse not to include full proofs in a published paper.","1","1","1","5","I never even new it existed","academia","<10 years ago","no","","Europe"
"2015/03/06 4:53:53 AM AST","a moral imperative","yes","small subscription fee","0","yes","","yes","not essential","","both","no","yes","no","they provide better reviews;they are more prestigious","yes","","","","","","","industry","20+ years ago","yes","","North America"
"2015/03/06 4:54:09 AM AST","a moral imperative","yes","through increased conference registration costs (or attendance)","0","yes","To support CS among other disciplines. For instance, a thorough reviewing of the existing conference and journal rankings by organizations such as the ACM would be highly desirable.","yes","yes","Open access is essential for guaranteeing perennial access to publications.","conferences","yes","yes","yes","they allow one to present completed research;they provide better reviews","no","","3","3","1","5","","academia","20+ years ago","no","","Europe"
"2015/03/06 4:54:21 AM AST","a moral imperative","yes","Green OA, public money, Academic consortium","200","no","","yes","yes","","conferences","yes","yes","yes","they allow long form results;they allow one to present completed research;they are more prestigious","","","3","3","3","5","","academia","20+ years ago","no","","Europe"
"2015/03/06 4:55:18 AM AST","a desirable feature","yes","through increased conference registration costs (or attendance)","0","yes","","yes","yes","","conferences","yes","no","yes","they allow long form results","yes","","2","1","5","4","","academia","10+ years ago","yes","SIGPLAN","Europe"
"2015/03/06 4:55:40 AM AST","a desirable feature","yes","I am against the gold OA model.","0","yes","It has become quite useless.  It should get drastically closer to the community.  E.g., organizing conferences with ACM is a real pain.  Before changing the financial model for conferences and journals, ACM should become more efficient and less expensive.  Credible alternative such as DROPS exist...  the cost of publishing should not be as high as it used to be.","no","not essential","I am strongly against a model where the authors have to pay for being published.","conferences","yes","yes","yes","they allow one to present completed research;it is expected to be seriously refereed, whereas conference articles are not exempt from flaws","yes","Conferences have taken way too much importance in individual assessments of researchers.","3","2","1","5","","academia","10+ years ago","no","SIGACT","Europe"
"2015/03/06 4:55:50 AM AST","a moral imperative","yes","Online storage is almost costless...","0","no","Spam my mailbox

PS: Put a unit to the price question... I don't know about what currency you are talking about.","yes","yes","","both","yes","yes","yes","they provide better reviews;it is expected by your employer","I don't understand the question","","","","","","","academia","<10 years ago","yes","","Europe"
"2015/03/06 4:56:24 AM AST","a desirable feature","yes","through scientific, neutral (assoc) institutions ","0","yes","Organize the scientific community and its policy (not its topics)","yes","","","conferences","yes","yes","yes","they provide better reviews;it is expected by your employer","yes","Journal papers should be papers intended to last for a longer time than conference papers (although it is not the case in my field for now). ","","","","","Define DL ?","academia","10+ years ago","","none","Europe"
"2015/03/06 4:58:10 AM AST","a moral imperative","yes","through increased conference registration costs (or attendance)","0","yes","Conference organisation and management.","yes","yes","","conferences","no","yes","yes","they allow one to present completed research;they provide better reviews","yes","","2","2","2","3","Never used, I always go directly to an author's homepage.","academia","10+ years ago","no","","Europe"
"2015/03/06 5:00:38 AM AST","a moral imperative","yes","through author processing charges","100","yes","","yes","yes","","conferences","yes","no","yes","they allow long form results;they allow one to present completed research","yes","","3","2","4","3","","academia","<10 years ago","yes","SIGPLAN","Europe"
"2015/03/06 5:01:52 AM AST","a moral imperative","yes","through increased conference registration costs (or attendance)","200","","","yes","yes","","both","yes","yes","no","they allow long form results","yes","If journals don't provide open access they will die out to blogs which are essentially free to operate.","3","3","","","","industry","haven't yet","no","","Europe"
"2015/03/06 5:03:05 AM AST","a desirable feature","yes","through author processing charges","0","","","yes","","","","","","","","","","","","","","","academia","haven't yet","no","","Europe"
"2015/03/06 5:04:03 AM AST","a moral imperative","yes","both author chages and attendance (split the cost)","100","no","","no","yes","","conferences","yes","yes","yes","they allow one to present completed research;they are more prestigious;it is expected by your employer","yes","","5","4","2","3","It serves me as a bibtex source (the bibliographic citations are usually good).

The references list in article pages should always contain a link for every reference. If it is not available in the DL, its DOI link should be used.","academia","<10 years ago","no","","Europe"
"2015/03/06 5:07:00 AM AST","a moral imperative","no","through increased conference registration costs (or attendance)","0","","","yes","yes","","conferences","yes","yes","yes","they allow long form results;they allow one to present completed research;they provide better reviews;it is expected by your employer","yes","","5","2","1","3","","academia","<10 years ago","no","","Europe"
"2015/03/06 5:07:46 AM AST","a moral imperative","no","through author processing charges","100","yes","ACM acts as library where we can look for related work and find the researchers working on similar work. ","yes","yes","Several times I have faced the issue of not being able to access papers that I wanted.","conferences","no","no","yes","they allow one to present completed research","yes","When trying to understand a work journal papers help in understanding a work in more detail","5","5","5","3","","academia","<10 years ago","yes","","Asia"
"2015/03/06 5:09:21 AM AST","a moral imperative","yes","through increased conference registration costs (or attendance)","0","yes","making money.

at least this is the impression from discussion that yield
the leave of SoCG","no","yes","I don't think you can hope that SoCG will be back to ACM.

You may avoid that other conferences leave.","conferences","yes","yes","yes","they allow long form results;they provide better reviews;it is expected by your employer","","","4","4","4","1","","academia","20+ years ago","no","sigact","Europe"
"2015/03/06 5:09:41 AM AST","a desirable feature","no","through author processing charges","700","no","To support research in Computer Science and to influence government policies","no","yes","OA is a nice idea in principle. However, it requires universal uptake otherwise academic institutions suffer from double-dipping (paying tor APCs and subscriptions). It also requires changing in funding models with lines allowed in grants to cover APCs (not allowed at the present in the UK). And what about research not funded from a grant? Universal OA would lead to a huge shift in costs away from those who consume research towards those who generate it, and this needs to be managed.","conferences","no","yes","yes","they allow long form results","no","Conferences and journals serve different purposes in our field, and we should not confuse the two. I see no merit at all in publishing PLDI articles in issues of TOPLAS. ","5","4","1","3","The DL is an excellent resource that needs to be preserved. It's a fantastic service to the research community that far exceeds that of other organisations, both for-profit and not-for-profit.","academia","20+ years ago","yes","SIGPLAN","Europe"
"2015/03/06 5:09:53 AM AST","a moral imperative","yes","through increased conference registration costs (or attendance)","0","","","yes","yes","","both","yes","yes","yes","they allow one to present completed research;they provide better reviews;they are more prestigious","","","4","4","1","3","","academia","<10 years ago","no","","Europe"
"2015/03/06 5:10:30 AM AST","a moral imperative","yes","through increased conference registration costs (or attendance)","200","yes","1. to organize conferences for researchers
2. to organize training for professionals","yes","yes","Scientific communities should be inclusive:

1. Access to scientific results should be feasible to anyone in the world, independently of their financial situation or institutional affiliation.

2. Publication of scientific results should be feasible to anyone in the world, independently of their financial situation or institutional affiliation.","conferences","no","no","yes","","yes","","2","1","5","4","Good things about the DL:

 - Good coverage of old articles published by ACM.

 - Decent coverage of additional materials for articles recently published by ACM.

Bad things about the DL:

 - I never use the DL to *search* for articles, because the search function appears to be not working. For example, entering the exact title of an article that I know is in the DL sometimes doesn't include this article in the search results.

 - I sometimes use the DL to download bibtex records, but the quality of these records is low and they have to be extensively hand-edited to become useful.","academia","<10 years ago","yes","SIGPLAN","Europe"
"2015/03/06 5:12:14 AM AST","a moral imperative","yes","Institutional support","200","yes","Not clear","yes","yes","Open Access is a high priority for me.","conferences","yes","yes","yes","they allow long form results;they allow one to present completed research","Irrelevant, the best conferences are more prestigious","Journals are important because they allow for the publication of the final word on a piece of research, in a polished form. However, conferences are more important because they generally allow for faster publication.","2","2","4","5","The paywall often prevents me from reading an article.","academia","<10 years ago","no","ACT","Europe"
"2015/03/06 5:13:53 AM AST","a moral imperative","yes","http://arxiv.org/","0","yes","Conferences","yes","yes","The results of research must be available to everyone freely, forever, to maximise the advancements in research and industry.

Authors should retain copyright since they made the works.","conferences","no","yes","yes","they provide better reviews;they are more prestigious","no","","3","3","1","5","It's ok, but the paywall makes most things inaccessible for people outside universities. Companies may still be able to buy access, but individuals do not. Papers should be freely available to everyone, preferably with a simple search interface, such as on ArXiv.","academia","<10 years ago","yes","SIGPLAN","Europe"
"2015/03/06 5:14:38 AM AST","a moral imperative","yes","through increased conference registration costs (or attendance)","0","no","","yes","yes","ArXiv and LIPIcs are good example of how it should work","both","yes","yes","yes","they allow long form results;they allow one to present completed research;they provide better reviews","no","Too many conference papers state results without proofs and the extended versions never appear","1","1","1","5","","academia","10+ years ago","","SIGACT","Europe"
"2015/03/06 5:15:46 AM AST","a moral imperative","yes","public funding","0","yes","","yes","yes","","conferences","yes","yes","yes","","yes","","1","2","4","4","","academia","10+ years ago","yes","plan","Europe"
"2015/03/06 5:21:36 AM AST","a desirable feature","yes","through increased conference registration costs (or attendance)","0","no","To facilitate the advance of Computer Science as a scientific discipline.","no","not essential","","conferences","yes","yes","yes","they allow long form results;they allow one to present completed research;they provide better reviews","no","","3","3","2","5","","academia","20+ years ago","yes","SIGPLAN,SIGLOG","Europe"
"2015/03/06 5:21:59 AM AST","a desirable feature","yes","through increased conference registration costs (or attendance)","700","yes","","yes","yes","","conferences","yes","yes","yes","they allow one to present completed research","yes","","","","","","","academia","<10 years ago","no","","Europe"
"2015/03/06 5:22:53 AM AST","a moral imperative","yes","through increased conference registration costs (or attendance)","100","yes","","yes","not essential","","conferences","no","yes","yes","","yes","","","","","","","industry","<10 years ago","no","","Europe"
